serial_no,mark_id_char
71005480,BLACK LEAF
71005481,ROSE LEAF
71005482,NICO-FUME
71005494,JOHN REUTER M.D.
71005495,O TRICOFERO DE BARRY
71005496,TRICOFERO
71005531,ONGOLINE
71005532,LUSTROLA
71005533,DIAMOND
71005548,MASCOT
71005564,"RED TOP PEARSON'S RED TOP SNUFF BYFIELD, MASS. PEARSONS MILLS"
71005610,SCOTCH
71005611,SCOTCH
71005613,BUCKEYE
71005619,E & W
71005621,E & W
71005636,HART
71005663,"A & CO. PONCE, P.R."
71005695,S.S.P. CO. PURITAS ET CURA
71005696,OVERLAND
71005717,LEWIS' LYE
71005718,PEERLESS
71005724,NECCO
71005742,NATIONAL
71005764,NECCO SWEETS
71005782,KEYSTONE
71005783,PEARL TOP
71005786,PEARL
71005788,THERMO
71005816,AB CO
71005818,WRIGHT'S CONDENSED SMOKE
71005839,CAMPBELL'S
71005846,OKONITE
71005873,ALETRIS CORDIAL
71005884,"""HERCULES"""
71005911,LONG SHORE
71005915,CHAS. H. FLETCHER.
71005944,DOAN'S BACK ACHE KIDNEY PILLS
71005959,RUPPINER
71005969,SMITH BROTHERS
71005980,WOODBERRY
71005983,WOODBERRY U.S. ARMY DUCK
71005999,STAR
71006025,ANGOSTURA
71006048,MATCHLESS
71006049,ECLIPSE
71006050,ACME
71006053,TOPAZ
71006063,STEPHENSON
71006088,BROOKS
71006107,EGLENTINE
71006117,D.D.D.
71006132,METALINE
71006164,LISTERINE
71006265,"SLOAN'S NERVE & BONE LINIMENT KEEP FROM FIRE OR FLAME KILLS ALL PAIN IN MAN OR BEAST PRICE, ONE DOLLAR DR. EARL S. SLOAN BOSTON, MASS., U.S.A. NONE GENUINE WITHOUT PORTRAIT AND SIGNATURE KEEP WELL CORKED IN A COOL PLACE THIS LINIMENT IS A GREAT WIND PUFF CURE LABEL ENTERED ACCORDING TO ACT OF CONGRESS 1889-1890. TRADEMARK REGISTERED 1890. ANY INFRINGEMENT ON LABEL OR WRAPPER WILL BE PROSECUTED TO FULL EXTENT OF THE LAW."
71006267,CACTINA
71006268,SENG
71006311,PEACOCK'S BROMIDES
71006312,CHIONIA
71006321,TONGALINE
71006339,MURINE
71006363,MORSE
71006372,REX
71006394,GOODYEAR RUBBER CO. 1872
71006423,ACME
71006433,$4 RALSTON HEALTH SHOE
71006438,BIGELOW
71006495,ECHO
71006540,GOULD
71006555,SAL HEPATICA
71006566,WARREN SILVER PLATE CO. NEW YORK QUADRUPLE PLATE
71006569,WM. A. ROGERS A. 1. R.
71006605,RED STAR
71006624,CALIFIG
71006636,KNABE
71006653,AUTOLINE
71006697,CARTER'S
71006702,CARTER'S
71006703,CARTER'S
71006715,GOLD HEART
71006744,LOWMOOR
71006755,"OLD HICKORY ""ANDREW JACKSON"" CHAIR."
71006766,MILKA
71006769,AUTOCAR
71006786,SHAKER
71006792,SHIELD BRAND
71006820,TEXACO
71006848,DUNLAP
71006849,DUNLAP & CO. EXTRA QUALITY
71006900,BULLDOZER
71006901,GLASS VALVE
71006944,DIAMOND
71006945,PS STUBS
71007029,PENNYSAVER
71007030,MOVEO ET PROFICIO KNOX NEW YORK.
71007033,DIAMOND CRYSTAL SALT
71007061,PEACEMAKER
71007147,SUCHARD
71007157,DOULTON
71007158,ROYAL-DOULTON ENGLAND DDDD
71007181,THE BEST
71007182,BUTTER CREAMS
71007204,MONARCH
71007262,OLD HONESTY SOAP
71007305,PRESTO
71007317,CAMPHO-PHENIQUE
71007344,MACHINERY
71007349,AYRSHIRE
71007350,KEYSTONE
71007381,HYGEIA
71007405,REGAL.
71007409,REGAL
71007427,CAPEWELL
71007470,WYANDOTTE
71007472,PARSLEY BRAND
71007489,A. DE LUZE & FILS BORDEAUX
71007496,ELIZABETH LAZENBY
71007501,E-Z-BAKE
71007535,BRITISH GLASS P.B.
71007578,THE BIKE
71007586,PORCELITE
71007589,THOMSON'S
71007641,TREADEASY
71007696,PEPPER JAS.E. PEPPER & CO.
71007714,BOVRIL
71007724,FLINT FILLER
71007725,FLINT PRIMER
71007727,ADAMANT
71007731,COTTON WHITE
71007732,CORTICELLI SPOOL A SILK WARRANTED 100 YDS WARANTED
71007736,CARNATION BRAND
71007743,SIL-O-CEL
71007777,EMERITE
71007781,EDUCATOR
71007804,CAMEL
71007815,GAIL BORDEN
71007816,BORDEN'S
71007826,STANDARD CONDENSED MILK
71007844,WALK-OVER
71007854,COSMIC
71007867,BITULITHIC
71007886,DUPLEX
71007892,NICHOLSON U.S.A.
71007898,AMERICAN
71007902,J.B. SMITH CO.
71007912,MAPLE LEAF
71007916,ARCADE
71007918,VICTOR
71007919,KEYSTONE
71007920,MONARCH
71007921,BLACK WORKS G. H. BARNETT
71007927,KEARNEY & FOOT D & F
71007943,MONARCH
71007957,VICTOR BRAND
71007958,ANCHOR BRAND
71007983,PURITY CONDENSED MILK
71008013,PARAGON BLAKEY'S
71008016,SLAWNY BALSAM MACIERZYNSKI
71008042,WHITE AND GOLD
71008054,JRD
71008095,BANKERS LINEN
71008096,BANKERS
71008121,PURITAN
71008122,NON-FLUID OIL
71008132,K & F
71008138,ARGO
71008144,KIS=ME
71008150,CALIFORNIA FRUIT
71008172,MINUTE
71008194,REX
71008195,DAMASKEENED
71008248,BBB
