first_use_any_dt,first_use_any_dt_raw,first_use_com_dt,first_use_com_dt_raw,class_intl_count,class_primary_cd,class_status_cd,class_status_dt,class_us_count,class_id,serial_no
1880-01-01,18800101,1880-01-01,18800101,1,030,6,1999-11-02,1,188,70027287
,18850000,,18850000,1,006,9,2006-09-02,1,189,70027326
1895-09-28,18950928,1895-09-28,18950928,1,051,9,1983-03-01,1,190,70027327
1895-07-01,18950701,1895-07-01,18950701,1,018,9,1983-03-01,1,191,70027388
,18950200,,18950200,1,046,9,2006-09-09,1,192,70027402
1888-09-01,18880901,1888-09-01,18880901,1,046,9,1983-03-01,1,193,70027448
1892-07-01,18920701,1892-07-01,18920701,1,037,9,2006-11-11,1,194,70027729
,18941200,,18941200,1,046,9,1983-03-01,1,195,70027741
1896-01-04,18960104,1896-01-04,18960104,1,046,9,1983-03-01,1,196,70027775
,18860500,,18860500,1,046,9,1988-12-22,1,197,70027820
,18780000,,18780000,1,001,6,1999-11-02,1,198,70027825
1879-01-01,18790101,1879-01-01,18790101,1,037,9,2006-12-02,1,199,70027849
1896-01-25,18960125,1896-01-25,18960125,1,016,9,1988-12-22,1,200,70027853
,18120000,,18120000,1,046,9,1988-12-28,1,201,70027864
,18890200,,18890200,1,049,9,1988-12-22,1,202,70027959
,18950900,,18950900,1,049,9,1988-12-22,1,203,70028037
,18880200,,18880200,1,023,9,1988-12-22,1,204,70028050
1895-01-01,18950101,1895-01-01,18950101,1,018,9,1988-12-22,1,205,70028065
,18880000,,18880000,1,014,9,1988-12-22,1,206,70028067
1896-02-21,18960221,1896-02-21,18960221,1,039,9,2007-01-13,1,207,70028076
,18990300,,18990300,1,001,9,1992-12-07,1,208,70028090
1896-02-01,18960201,1896-02-01,18960201,1,046,6,1999-11-02,1,209,70028095
1895-02-01,18950201,1895-02-01,18950201,1,046,9,1988-12-22,1,210,70028162
,18900000,,18900000,1,037,9,1988-12-22,1,211,70028260
,18750000,,18750000,1,047,2,2020-03-16,1,212,70028269
,18951200,,18951200,1,051,9,1988-12-22,1,213,70028277
,18921100,,18921100,1,028,9,1988-12-22,1,214,70028469
,0,,0,1,018,6,1985-07-22,1,216,70028605
,18950200,,18950200,1,018,2,2020-01-07,1,217,70028711
1885-05-01,18850501,1885-05-01,18850501,0,018,9,1983-03-01,1,218,70028774
,18720000,,18720000,0,023,9,1988-12-22,1,219,70028858
,18720000,,18720000,1,048,9,2007-06-16,1,220,70028866
1890-09-01,18900901,1890-09-01,18900901,1,015,6,1999-11-02,1,222,70028936
1886-09-28,18860928,1886-09-28,18860928,1,015,6,1999-11-02,1,223,70028937
,18920000,,18920000,1,037,9,2007-08-04,1,224,70029034
,18940900,,18940900,1,017,9,1988-12-22,1,225,70029036
1887-09-28,18870928,1887-09-28,18870928,1,018,9,1988-12-22,1,226,70029094
,18950100,,18950100,1,006,9,2008-11-07,1,227,70029135
1871-01-01,18710101,1871-01-01,18710101,1,049,6,1999-11-02,1,228,70029166
1877-08-19,18770819,1877-08-19,18770819,1,018,6,1999-11-02,1,229,70029261
1880-03-01,18800301,1880-03-01,18800301,1,009,9,1988-12-22,1,230,70029299
,18930900,,18930900,1,052,6,1999-11-02,1,232,70029392
1894-05-01,18940501,1894-05-01,18940501,1,046,9,1988-12-22,1,233,70029409
1878-07-01,18780701,1878-07-01,18780701,1,027,9,1988-12-22,1,234,70029434
1884-06-01,18840601,1884-06-01,18840601,1,037,9,1988-12-22,1,235,70029436
1896-08-06,18960806,1896-08-06,18960806,1,027,9,1988-12-22,1,236,70029473
1896-11-13,18961113,1896-11-13,18961113,1,046,9,1988-12-22,1,237,70029484
,18750000,,18750000,1,023,9,1988-12-22,1,238,70029529
1896-12-30,18961230,1896-12-30,18961230,1,048,9,1988-12-22,1,239,70029568
1868-01-25,18680125,1868-01-25,18680125,1,023,9,1992-08-10,1,240,70029573
,18750000,,18750000,1,035,6,1983-03-01,1,241,70029579
,18961100,,18961100,1,046,9,1988-12-22,1,242,70029632
1896-08-15,18960815,1896-08-15,18960815,1,051,9,1988-12-22,1,243,70029840
,18850100,,18850100,1,046,9,1988-12-22,1,244,70029876
,18961200,,18961200,1,016,9,1988-12-22,1,245,70029910
,18951000,,18951000,1,029,9,1988-12-22,1,246,70029986
1896-12-14,18961214,1896-12-14,18961214,1,018,6,1999-11-02,1,247,70029994
,0,,0,1,039,6,1985-07-22,1,248,70030031
,18860100,,18860100,1,023,9,1988-06-03,1,249,70030070
1870-05-01,18700501,1870-05-01,18700501,1,049,9,2008-03-15,1,250,70030156
1896-05-01,18960501,1896-05-01,18960501,1,023,9,1988-12-22,1,251,70030188
1897-03-16,18970316,1897-03-16,18970316,1,006,9,1988-12-22,1,252,70030214
,18560000,,18560000,1,046,9,2008-04-12,1,253,70030327
,18910000,,18910000,1,044,9,1988-12-22,1,254,70030360
,18860300,,18860300,1,035,9,1988-12-22,1,255,70030394
1897-04-09,18970409,1897-04-09,18970409,1,046,9,1988-12-22,1,256,70030399
,17790000,,17790000,1,030,9,2008-05-16,1,257,70030487
,18470000,,18470000,1,019,6,1999-11-02,1,258,70030580
1894-04-05,18940405,1894-04-05,18940405,1,044,9,1988-12-22,1,259,70030595
,18680000,,18680000,1,037,9,1988-12-22,1,260,70030599
,18881200,,18881200,1,035,9,1988-12-22,1,261,70030606
,18970700,,18970700,1,035,9,2008-07-11,1,262,70030655
,18950700,,18950700,1,023,2,2009-03-23,1,263,70030835
1897-01-02,18970102,1897-01-02,18970102,1,043,9,1988-12-22,1,264,70030868
1897-06-01,18970601,1897-06-01,18970601,1,043,9,1988-12-22,1,265,70030869
1887-02-15,18870215,1887-02-15,18870215,4,013,9,2008-09-05,1,266,70030910
,18870400,,18870400,1,006,9,1988-12-22,1,267,70030916
1893-02-02,18930202,1893-02-02,18930202,1,051,2,2020-03-16,1,268,70030942
1895-04-02,18950402,1895-04-02,18950402,1,018,9,1988-12-22,1,269,70031033
1893-06-01,18930601,1893-06-01,18930601,6,046,6,1999-11-02,1,270,70031048
1892-01-01,18920101,1892-01-01,18920101,1,045,9,1989-01-05,1,271,70031147
1894-08-01,18940801,1894-08-01,18940801,1,045,9,1988-12-22,1,272,70031317
,18740000,,18740000,1,037,9,1988-12-22,1,273,70031433
1875-01-01,18750101,1875-01-01,18750101,1,047,9,1988-12-22,1,274,70031498
,0,,0,1,006,6,1985-07-22,1,275,70031506
1898-02-01,18980201,1898-02-01,18980201,1,039,9,1988-12-22,1,276,70031548
,18890000,,18890000,1,037,9,1988-12-22,1,277,70031572
,18920800,,18920800,1,017,9,1988-12-22,1,278,70031633
1897-10-25,18971025,1897-10-25,18971025,1,018,9,1988-12-22,1,279,70031688
1897-12-01,18971201,1897-12-01,18971201,1,046,6,1999-11-02,1,280,70031689
,18670400,,18670400,1,015,6,1999-11-02,1,281,70031735
1892-12-31,18921231,1892-12-31,18921231,1,046,6,1999-11-02,1,283,70031900
1898-04-01,18980401,1898-04-01,18980401,1,042,9,1988-12-22,1,284,70031907
